0,1
0,100
1,37
2,77
3,87
4,142
5,114
6,13
7,142
8,61
9,204
10,114
11,58
12,254
13,233
14,149
15,232
16,102
17,9
18,170
19,111
20,88
21,2
22,70
23,183
24,19
25,242
26,178
27,96
28,8
29,82
30,221
31,47
32,74
33,188
34,35
35,140
36,46
37,236
38,91
39,196
40,124
41,189
42,160
43,138
44,123
45,191
46,139
47,77
48,85
49,174
50,155
51,151
52,62
53,60
54,38
55,110
56,17
57,215
58,243
59,91
60,206
61,72
62,149
63,157
64,200
65,3
66,236
67,124
68,191
69,3
70,194
71,222
72,152
73,122
74,183
75,166
76,129
77,49
78,116
79,153
80,155
81,124
82,28
83,24
84,40
85,51
86,197
87,172
88,139
89,229
90,99
91,107
92,89
93,102
94,120
95,0
96,82
97,218
98,215
99,238
100,236
101,93
102,41
103,58
104,5
105,102
106,152
107,163
108,176
109,160
110,126
111,137
112,141
113,90
114,52
115,159
116,28
117,205
118,48
119,221
120,234
121,196
122,30
123,14
124,42
125,131
126,117
127,186
128,222
129,74
130,59
131,44
132,216
133,186
134,208
135,19
136,158
137,251
138,111
139,232
140,69
141,126
142,55
143,161
